Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2012,Ivan Nova,Yankees,170.1,93.8,,,,87,88,81,,,,1994
2010,Max Scherzer,Tigers,195.2,93.7,,,,84.1,84.7,,,,,3137
2011,Matt Harrison,Rangers,185.2,93.7,87.9,,93,83.8,,78.2,,,,5551
2014,Hector Noesi,- - -,172.1,93.7,88.8,,93.4,87.6,,81.1,,,,3292
2009,Roy Oswalt,Astros,181.1,93.7,,,92.9,83.9,84.7,72.5,,,,571
2010,Phil Hughes,Yankees,176.1,93.7,89.5,,,86,,76.9,,,,7450
2015,Cole Hamels,- - -,212.1,93.7,90,,93.6,85.4,,79.2,,,,4972
2015,Anthony DeSclafani,Reds,184.2,93.7,,,93,86.8,87.8,79.9,,,,13050
2012,Yu Darvish,Rangers,191.1,93.7,90.5,89.1,93.6,87.8,83,79.9,70.5,,,13074
2012,Josh Johnson,Marlins,191.1,93.7,,,93.2,87.9,87.7,79.3,,,,4567
2016,Matt Moore,- - -,198.1,93.7,90.9,,93.3,85.2,,82.1,,,,1890
2011,Josh Beckett,Red Sox,193,93.7,90.9,,93.7,89.1,,78,,,,510
2012,Jarrod Parker,Athletics,181.1,93.7,,,93.1,81.9,88.9,82.7,,,,4913
2011,Jason Hammel,Rockies,170.1,93.7,,,93.5,87.1,84.9,78.2,,,,4538
2013,Gio Gonzalez,Nationals,195.2,93.7,,,92.9,84.5,,79.2,,,,7448
2010,Zack Greinke,Royals,220,93.7,,,93.4,85.4,86.5,74.8,65.3,,,1943
2007,Matt Cain,Giants,200,93.7,,,93.5,87.2,85.8,76.5,,,,4732
2016,Cole Hamels,Rangers,200.2,93.7,90.1,,93.5,85.2,,80.2,,,,4972
2015,Corey Kluber,Indians,222,93.6,89.3,,93.8,85.8,83.7,,,,,2429
2014,Clayton Kershaw,Dodgers,198.1,93.6,,,91,88.5,88.1,74.6,60.9,,,2036
2012,Lucas Harrell,Astros,193.2,93.6,89.9,,93.3,83.7,,84.1,,,,7541
2014,Felix Hernandez,Mariners,236,93.6,,,93,89.9,85.2,81,,,,4772
2013,Yu Darvish,Rangers,209.2,93.6,89.9,88.7,93.3,85.9,82.2,79.7,67.1,,,13074
2016,Chris Sale,White Sox,226.2,93.6,,,91.8,86,79,,,,,10603
2012,Homer Bailey,Reds,208,93.6,,86.5,92.4,,88.3,78.9,,,,8362
2012,Justin Masterson,Indians,206.1,93.6,,,91.9,86.6,83.2,,,,,2038
2016,Ervin Santana,Twins,181.1,93.6,87.1,,92.8,85.5,84.1,78.1,,,,3200
2008,Roy Oswalt,Astros,208.2,93.6,,,92.6,84.1,84.7,70.5,,,,571
2011,Jon Lester,Red Sox,191.2,93.6,89.5,,92.7,85.3,,76,,,,4930
2007,John Smoltz,Braves,205.2,93.6,,86.1,93,,88,78.6,,,,115
2014,James Shields,Royals,227,93.6,87.6,,92.9,86.1,,80.4,,,,7059
2011,Bud Norris,Astros,186,93.6,,,93.4,83.9,87.1,,,,,9492
2014,Matt Garza,Brewers,163.1,93.6,,,93.2,86.4,85.2,75.2,,,,3340
2018,Ivan Nova,Pirates,161,93.6,,,93.2,87,,81,,,,1994
2012,Rick Porcello,Tigers,176.1,93.5,,,92.6,84.1,85.9,79.4,,,,2717
2012,Jon Lester,Red Sox,205.1,93.5,91,,92.7,86.5,,76.6,,,,4930
2008,Ben Sheets,Brewers,198.1,93.5,,87.2,92.6,,87.8,80.7,,,,710
2011,Brad Penny,Tigers,181.2,93.5,88.5,86.9,93,,,78.5,,,,535
2012,A.J. Burnett,Pirates,202.1,93.5,,,93.3,88.7,,82.7,,,,512
2011,Yovani Gallardo,Brewers,207.1,93.5,,,93.5,86.2,88,81.4,,,,8173
2018,Kyle Gibson,Twins,196.2,93.5,,,93.3,86,85.7,81,,,,10123
2010,Jason Hammel,Rockies,177.2,93.5,,,93.3,85.8,84.4,78.2,,,,4538
2013,Bud Norris,- - -,176.2,93.5,88,,93.3,86.1,85,80.1,,,,9492
2013,A.J. Burnett,Pirates,191,93.5,,,93.3,88.4,,83.4,,,,512
2017,Ivan Nova,Pirates,187,93.5,,,92.8,86.7,,80.9,,,,1994
2014,Jason Hammel,- - -,176.1,93.5,,,93.4,86.3,83.6,77.2,,,,4538
2015,Jordan Zimmermann,Nationals,201.2,93.5,,,,87.1,88,80.9,,,,4505
2009,Johnny Cueto,Reds,171.1,93.5,,,93,84.6,86.8,,,,,6893
2014,Ervin Santana,Braves,196,93.5,,,92.1,85.2,84.1,,,,,3200
2010,Wade Davis,Rays,168,93.5,,,91.7,85.8,86.7,80.4,,,,7441
2017,Martin Perez,Rangers,185,93.5,,,93.2,84.9,84.2,79.1,,,,6902
2011,A.J. Burnett,Yankees,190.1,93.5,,,93.5,88.9,86.5,83.3,,,,512
2018,Sean Newcomb,Braves,164,93.5,,,,86.8,80.7,77.1,,,,16943
2012,Chris Sale,White Sox,192,93.4,,,90.2,83.1,79.2,,,,,10603
2013,Clayton Kershaw,Dodgers,236,93.4,,,90.2,86.1,85.8,74.4,,,,2036
2007,Boof Bonser,Twins,173,93.4,87,,92.5,83.2,,80.6,,,,2159
2011,Ervin Santana,Angels,228.2,93.4,,,,86.6,82.8,,,,,3200
2015,Alfredo Simon,Tigers,187,93.4,88.6,85.2,93.6,65.4,,77.3,,,,2155
2013,Lance Lynn,Cardinals,201.2,93.4,87.8,,92.4,85.4,,79.7,,,,2520
2012,Matt Harrison,Rangers,213.1,93.4,86.9,,92.7,83.5,,79.4,,,,5551
2011,Zack Greinke,Brewers,171.2,93.4,,,93.3,85.6,85,74,61.6,,,1943
2011,Ivan Nova,Yankees,165.1,93.4,,,,86.7,86.4,80.9,,,,1994
2008,Daniel Cabrera,Orioles,180,93.4,,,,83.3,81.6,,,,,1931
2009,Mike Pelfrey,Mets,184.1,93.4,,,93,83.5,85.4,76.8,,,,5203
2018,Aaron Nola,Phillies,212.1,93.3,,,91.9,85.3,,78.5,,,,16149
2010,Tommy Hanson,Braves,202.2,93.3,,,91.4,83.5,84.7,76.7,,,,9129
2012,Luke Hochevar,Royals,185.1,93.3,88.7,,93,85.5,85.4,78.8,,,,6943
2010,Yovani Gallardo,Brewers,185,93.3,,,,84.7,87.4,80.8,,,,8173
2016,Corey Kluber,Indians,215,93.3,90.1,,93.5,86.5,84.7,,,,,2429
2017,Ervin Santana,Twins,211.1,93.3,,,92.2,86.1,84.6,,,,,3200
2014,Justin Verlander,Tigers,206,93.3,,,,84.4,86.4,80,,,,8700
2015,Francisco Liriano,Pirates,186.2,93.3,,,93.2,85.1,85.6,,,,,3201
2008,Ian Snell,Pirates,164.1,93.3,,,92.5,85.8,84.9,81.9,,,,2227
2010,Clayton Kershaw,Dodgers,204.1,93.3,,,,84.7,82,73.9,,,,2036
2012,Jeremy Guthrie,- - -,181.2,93.3,,,93.4,85.3,85.1,75.9,68,,,2072
2013,Ervin Santana,Royals,211,93.3,,,92.8,86.6,84.4,,,,,3200
2016,Kendall Graveman,Athletics,186,93.3,89.5,,93.6,86,83.7,80.8,,,,15514
2015,Johnny Cueto,- - -,212,93.3,88.6,,93,84,85.1,81.4,,,,6893
2007,Scott Kazmir,Devil Rays,206.2,93.3,,,92.2,81.9,85,,,,,4897
2010,Roy Oswalt,- - -,211.2,93.3,,,92.7,83.5,84.7,73.4,64.7,,,571
2012,Ubaldo Jimenez,Indians,176.2,93.3,,84.6,93,,83.3,78.3,,,,3374
2007,John Maine,Mets,191,93.2,,,,85.2,84.8,,,,,4773
2012,James Shields,Rays,227.2,93.2,90.3,,92.7,85.9,,80.5,,,,7059
2009,Jeremy Guthrie,Orioles,200,93.2,,,93.2,85,84.2,73.4,,,,2072
2011,Roberto Hernandez,Indians,188.2,93.2,,,93.3,86.3,86.9,,,,,3273
2009,Brett Anderson,Athletics,175.1,93.2,,,91.9,84.6,84.2,77.5,,,,8223
2014,Phil Hughes,Twins,209.2,93.2,89.5,,92.4,84.7,,77.2,,,,7450
2013,Jeremy Guthrie,Royals,211.2,93.2,,,93.2,85.8,84.4,74.8,64,,,2072
2009,Chris Carpenter,Cardinals,192.2,93.2,87.9,,93.1,85.5,,75.2,,,,1292
2012,CC Sabathia,Yankees,200,93.2,,,92.6,86.7,81.9,78.3,,,,404
2011,Luke Hochevar,Royals,198,93.2,88.2,,93,82,84,77.6,,,,6943
2011,Jeremy Guthrie,Orioles,208,93.2,,,93.2,84.2,83.7,74,,,,2072
2007,Daisuke Matsuzaka,Red Sox,204.2,93.2,87.3,82.6,92.3,,82.4,77.7,,,,7775
2010,Ervin Santana,Angels,222.2,93.2,,,,85.8,83,,,,,3200
2008,Gil Meche,Royals,210.1,93.2,89.2,,,84.3,,79.3,,,,1089
2010,Mike Pelfrey,Mets,204,93.2,,85.5,92.9,,84.7,76.3,,,,5203
2007,Johan Santana,Twins,219,93.2,,,93,83,86,,,,,755
2012,Clay Buchholz,Red Sox,189.1,93.2,90.1,86,92.7,80.7,,78,,,,3543
2015,Lance Lynn,Cardinals,175.1,93.2,87.5,,91.8,86,,78.6,,,,2520
2016,Tanner Roark,Nationals,210,93.2,90.7,,92.9,84.6,86.2,78.1,,,,8753
2014,Cole Hamels,Phillies,204.2,93.2,89.6,,93.1,85,,79.1,,,,4972
2009,Matt Cain,Giants,217.2,93.1,,,92.7,86.9,86.4,76.1,,,,4732
2013,Jerome Williams,Angels,169.1,93.1,89.9,,92.8,85.7,81.3,78.2,,,,1137
2012,Luis Mendoza,Royals,166,93.1,,,92.7,83.5,,81.5,,,,3126
2018,David Price,Red Sox,176,93.1,89,,93.1,85.4,,79.4,,,,3184
2009,Tim Lincecum,Giants,225.1,93.1,,83.8,92.8,,81.7,77.2,,,,5705
2011,Tim Lincecum,Giants,217,93.1,,84.5,92.6,,85.7,79.6,,,,5705
2017,Clayton Kershaw,Dodgers,175,93.1,,,94.9,86.2,88.9,73.7,,,,2036
2011,Mike Pelfrey,Mets,193.2,93.1,89.1,85.1,92.9,,85.4,77,,,,5203
2015,Scott Kazmir,- - -,183,93.1,87.9,,91.8,77,81.6,77.6,,,,4897
2015,Mike Leake,- - -,192,93.1,90.8,,91.9,86.6,82,80.7,,,,10130
2017,Corey Kluber,Indians,203.2,93.1,89.2,,93,86.2,84.7,,,,,2429
2007,Kip Wells,Cardinals,162.2,93.1,,,92.6,86.4,86.5,81.4,,,,1012
2008,Nick Blackburn,Twins,193.1,93.1,87.8,,91.5,82.3,,77.2,,,,4270
2016,Jon Lester,Cubs,202.2,93.1,89.4,,91.7,85.5,,75.2,,,,4930
2014,Drew Hutchison,Blue Jays,184.2,93,,,92.6,86,85.2,,,,,10732
2014,Jon Lester,- - -,219.2,93,88.8,,91.8,85.8,,76,,,,4930
2008,Manny Parra,Brewers,166,93,,84.9,,,,76.8,,62.1,,4279
2014,Jorge De La Rosa,Rockies,184.1,93,87.9,83.7,92.9,,,74.9,,,,2047
2015,Madison Bumgarner,Giants,218.1,93,87.1,,,85.9,,77.5,70.5,,,5524
2013,Jarrod Parker,Athletics,197,93,,,92.5,82.6,,83.6,,,,4913
2013,Patrick Corbin,Diamondbacks,208.1,93,,,93,83,80.7,,,,,9323
2013,James Shields,Royals,228.2,93,87.7,,92.6,85.6,,79.5,,,,7059
2011,Charlie Morton,Pirates,171.2,93,89.1,84.8,92.2,,,79.3,,,,4676
2013,Bartolo Colon,Athletics,190.1,93,89.5,,89.9,83.4,84.2,,,,,375
2010,Gio Gonzalez,Athletics,200.2,93,,,92.3,83.7,,79.4,,,,7448
2013,Julio Teheran,Braves,185.2,93,,,90.5,82.7,82,73.6,,,,6797
2017,Masahiro Tanaka,Yankees,178.1,93,89.8,87.7,91.4,,84.7,77,,,,15764
2012,James McDonald,Pirates,171,92.9,,,92.4,83.1,80.4,77.2,,,,5523
2014,Alex Cobb,Rays,166.1,92.9,,87.9,92.7,,,81.7,,,,6562
2014,Wei-Yin Chen,Orioles,185.2,92.9,,,92.3,84.5,83.1,75,67.6,,,13071
2008,Matt Cain,Giants,217.2,92.9,,,92.7,87,85.9,76.5,,,,4732
2012,Zack Greinke,- - -,212.1,92.9,89.6,,93.1,86.1,83.3,74.1,66.6,,,1943
2013,Ubaldo Jimenez,Indians,182.2,92.9,90,84.1,92.2,,84.2,78.3,,,,3374
2015,Gio Gonzalez,Nationals,175.2,92.9,,,92.4,84.6,,78.8,,,,7448
2015,Jason Hammel,Cubs,170.2,92.9,,,92.9,85.5,84.9,77.2,,,,4538
2008,Todd Wellemeyer,Cardinals,191.2,92.9,,,93.1,85.4,85.2,,,,,1709
2012,Felix Hernandez,Mariners,232,92.9,,,92.3,89.1,85.6,81.9,,,,4772
2018,Jake Arrieta,Phillies,172.2,92.9,,,93.6,88.5,89.9,81.2,,,,4153
2011,Hiroki Kuroda,Dodgers,202,92.9,,87.4,92.7,,84.7,78.8,,,,3283
2014,Jeremy Guthrie,Royals,202.2,92.9,88.6,,92.9,86.8,85.4,76.1,65,,,2072
2010,Roberto Hernandez,Indians,210.1,92.9,,,92.8,86.6,87.1,,,,,3273
2010,Hiroki Kuroda,Dodgers,196.1,92.9,,87.5,93,,85.4,81,,,,3283
2014,Roenis Elias,Mariners,163.2,92.9,89.7,,92.7,86.5,,79.8,,,,12673
2016,Chris Tillman,Orioles,172,92.9,86.8,,92.7,84.8,84.8,76.5,,,,5279
2015,Tom Koehler,Marlins,187.1,92.9,91.6,,93,85.2,86,79.6,,,,6570
2015,Felix Hernandez,Mariners,201.2,92.8,92.4,,92.2,88.7,85,80.8,,,,4772
2007,Jeremy Bonderman,Tigers,174.1,92.8,,,92.3,85.4,84.2,,,,,1667
2010,Kyle Davies,Royals,183.2,92.8,89,,92.5,83.1,,78.7,,,,3642
2017,Tanner Roark,Nationals,181.1,92.8,89.6,,92.5,84,85.9,76.1,,,,8753
2015,J.A. Happ,- - -,172,92.8,,,91.5,85.8,84.8,79,,,,7410
2014,Madison Bumgarner,Giants,217.1,92.8,88.9,,,84.4,,77.6,70.7,,,5524
2016,Tom Koehler,Marlins,176.2,92.8,,,93.1,85.6,86.2,79.5,,,,6570
2011,Ricky Romero,Blue Jays,225,92.8,,,92.3,85.8,85.3,77.9,,,,3403
2008,Vicente Padilla,Rangers,171,92.8,,82.4,92.5,,,64.9,53.6,,,964
2015,Wei-Yin Chen,Orioles,191.1,92.8,,84.9,92,84.1,84.3,74.3,,,,13071
2016,Brandon Finnegan,Reds,172,92.8,85,,92.3,84.9,84.4,,,,,16208
2015,Jon Lester,Cubs,205,92.8,88.7,,91.7,85.2,,75.5,,,,4930
2016,Chad Bettis,Rockies,186,92.8,,,91.8,86.8,86.9,75.8,,,,10587
2012,Phil Hughes,Yankees,191.1,92.8,87.3,,92.1,84.7,81.7,75.5,,,,7450
2016,Ian Kennedy,Royals,195.2,92.8,86.5,,91.4,84.5,,77.9,,,,6986
2018,Cole Hamels,- - -,190.2,92.8,88,,91.9,83.9,85.4,79.2,,,,4972
2018,Lucas Giolito,White Sox,173.1,92.8,,,92.8,82.2,84.2,79,,,,15474
2016,J.A. Happ,Blue Jays,195,92.8,85.5,,91.5,84.2,85.7,79,,,,7410
2016,Jason Hammel,Cubs,166.2,92.8,,,92.9,85.3,85.5,77.5,,,,4538
2013,Rick Porcello,Tigers,177,92.7,,,92,83.4,85.6,78.8,,,,2717
2014,John Lackey,- - -,198,92.7,,,92.3,84.4,84.5,79.1,,,,1507
2017,Patrick Corbin,Diamondbacks,189.2,92.7,87.8,,92.5,83.8,81.3,,,,,9323
2015,Chris Tillman,Orioles,173,92.7,86.9,,92.2,83.7,82.6,76.4,,,,5279
2008,Jon Lester,Red Sox,210.1,92.7,88.3,,90.9,83.3,,75.9,,,,4930
2015,Rick Porcello,Red Sox,172,92.7,,,91.3,82.9,87.5,75.9,,,,2717
2007,Gil Meche,Royals,216,92.7,87.8,,,83.1,,77.7,,,,1089
2013,Chris Tillman,Orioles,206.1,92.7,87.5,,,83.9,,77.6,,,,5279
2011,Cole Hamels,Phillies,216,92.7,89.6,,88.7,84.3,,77.1,,,,4972
2017,Rick Porcello,Red Sox,203.1,92.7,,,90.3,80.7,85.9,75,,,,2717
2013,Felix Hernandez,Mariners,204.1,92.7,90.4,,92.3,89.5,84.8,81.2,,,,4772
2014,Kyle Gibson,Twins,179.1,92.7,,,92.3,84.4,85.3,81.3,,,,10123
2018,J.A. Happ,- - -,177.2,92.7,,,90.8,86.3,85.7,76.4,,,,7410
2014,Clay Buchholz,Red Sox,170.1,92.7,88.5,84.9,92,82.2,,78.2,,,,3543
2012,Bud Norris,Astros,168.1,92.7,,,92.6,85.8,85,,,,,9492
2009,Yovani Gallardo,Brewers,185.2,92.7,,,,84.9,85.3,80.4,,,,8173
2017,Aaron Nola,Phillies,168,92.7,,,91.8,84.2,,77.7,,,,16149
2014,Ian Kennedy,Padres,201,92.6,85.5,,92.2,84.2,,78.2,,,,6986
2014,A.J. Burnett,Phillies,213.2,92.6,,,92.5,87.2,,82.4,,,,512
2008,Javier Vazquez,White Sox,208.1,92.6,,,91.6,81.7,85,74.2,,,,801
2007,Matt Belisle,Reds,177.2,92.6,,,93,85.2,87.4,75.7,,,,1837
2007,Dan Haren,Athletics,222.2,92.6,87.4,85.8,92.9,87.6,,82.6,,,,1757
2017,Lance Lynn,Cardinals,186.1,92.6,87.5,,91.6,84.7,,79.2,,,,2520
2016,Johnny Cueto,Giants,219.2,92.6,86.8,,91.9,83,85,80.1,,,,6893
2010,Cole Hamels,Phillies,208.2,92.6,89.7,,90.6,82.7,,77,,,,4972
2016,Jose Quintana,White Sox,208,92.6,90.9,,92.5,86.6,,78,,,,11423
2013,Cole Hamels,Phillies,220,92.6,89.1,,92.4,84.1,,77.4,,,,4972
2017,Jose Quintana,- - -,188.2,92.6,,,92.4,86.4,,77.4,,,,11423
2017,Jake Arrieta,Cubs,168.1,92.6,,,92.4,87.5,88.2,79.1,,,,4153
2007,Carlos Zambrano,Cubs,216.1,92.6,90.6,84.5,92,,81,64,,,,305
2010,Gavin Floyd,White Sox,187.1,92.6,,,92.4,84.5,84.3,78.9,,,,3886
2015,John Lackey,Cardinals,218,92.6,,,92.6,83.9,83.9,78.5,,,,1507
2013,John Lackey,Red Sox,189.1,92.6,,,92,84.2,86.3,80.2,,,,1507
2010,James Shields,Rays,203.1,92.5,86.9,,92.3,84.3,,78.2,,,,7059
2007,Kyle Lohse,- - -,192.2,92.5,,,92.2,83.6,86.4,76.7,,,,739
2009,Carlos Zambrano,Cubs,169.1,92.5,90.9,85.5,91.8,82.5,82.6,70.6,,,,305
2013,Madison Bumgarner,Giants,201.1,92.5,88.7,,,85.2,,77.8,69.1,,,5524
2013,Miguel Gonzalez,Orioles,171.1,92.5,,84.3,92.3,,85.2,78.5,,,,7024
2015,Kyle Gibson,Twins,194.2,92.5,,,92.3,84.3,85.3,80.8,,,,10123
2011,Anibal Sanchez,Marlins,196.1,92.5,,,92.8,84.1,85.9,76,,,,3284
2017,Jason Hammel,Royals,180.1,92.5,,,92.7,85.5,85.3,77.9,,,,4538
2018,Andrew Heaney,Angels,180,92.5,,,92.4,83.8,,79,,,,15423
2014,Zack Greinke,Dodgers,202.1,92.5,,,92.6,87.7,85.5,72.9,66,,,1943
2009,Ricky Nolasco,Marlins,185,92.5,,85.2,90.1,,84.4,77.9,75.8,,,3830
2009,Ricky Romero,Blue Jays,178,92.5,,,91.1,84.2,82,76.7,,,,3403
2009,Rick Porcello,Tigers,170.2,92.5,,,91.3,81.4,80.4,75.8,,,,2717
2009,Jason Hammel,Rockies,176.2,92.5,,,92.5,84.7,84.7,77.2,,,,4538
2016,Jake Odorizzi,Rays,187.2,92.5,87.2,85.6,92.5,83.8,83,72.1,,,,6397
2007,Erik Bedard,Orioles,182,92.5,,,93.5,81.8,,78.6,,,,126
2012,Yovani Gallardo,Brewers,204,92.5,,,92.4,87.6,88,80.3,,,,8173
2015,Zack Greinke,Dodgers,222.2,92.5,,,92.3,89,87.5,74.8,68,,,1943
2011,Madison Bumgarner,Giants,204.2,92.5,88,,,84.1,,77.4,,,,5524
2011,Chad Billingsley,Dodgers,188,92.5,89,,91.8,85.8,85.5,77.7,68.5,,,5842
2016,John Lackey,Cubs,188.1,92.5,,,92.3,84.9,83.7,78.6,,,,1507
2017,Dylan Bundy,Orioles,169.2,92.4,,,,84,83.4,74.9,,,,12917
2010,Justin Masterson,Indians,180,92.4,,,91.1,84.4,82.9,,,,,2038
2018,Kyle Freeland,Rockies,202.1,92.4,86.5,,91.2,86.1,81.7,,,,,16256
2009,Chad Billingsley,Dodgers,196.1,92.4,89,,91,85.8,84.5,79.5,70,,,5842
2018,Corey Kluber,Indians,215,92.4,88.9,,92.4,85.6,84.2,,,,,2429
2012,Anibal Sanchez,- - -,195.2,92.4,,,92.6,85.4,86.1,78.9,,,,3284
2013,Jorge De La Rosa,Rockies,167.2,92.4,,84.1,90.9,,85.7,74.5,,,,2047
2007,Jose Contreras,White Sox,189,92.4,,78.3,91.8,,85.8,,,,,1660
2018,Tyler Anderson,Rockies,176,92.4,88.1,,91.8,81.7,,74.1,,,,12880
2009,Ross Ohlendorf,Pirates,176.2,92.4,,,91.7,82.4,81.4,73.7,,,,8268
2013,Zack Greinke,Dodgers,177.2,92.4,87.9,,92.6,87,85.5,73.7,65.4,,,1943
2016,Rick Porcello,Red Sox,223,92.4,86.6,,90,80.7,85.3,74.2,,,,2717
2012,Cole Hamels,Phillies,215.1,92.4,89,,89.9,84,,76.5,,,,4972
2014,Wade Miley,Diamondbacks,201.1,92.4,,,91.9,83.4,86.3,79,,,,8779
2010,Matt Cain,Giants,223.1,92.3,,,91.9,85.6,85.8,77.7,,,,4732
2008,Jair Jurrjens,Braves,188.1,92.3,,,92.7,84.5,81,,,,,5556
2009,Gavin Floyd,White Sox,193,92.3,,,92.2,84.3,86.4,80.2,,,,3886
2009,Jeff Niemann,Rays,180.2,92.3,,,92.3,83.7,82.9,77.4,,,,8591
2008,Chad Billingsley,Dodgers,200.2,92.3,87.5,,90.9,84.2,,78.5,66.9,,,5842
